"restaurant_name","cuisine_type","cost_of_the_order","rating","day_of_wk","customer_num_order","rst_num_order","customer_neighbourhood","customer_region","complete_time","rst_num_order_binned","Cluster"
"Chipotle Mexican Grill","Mexican",15.57,3.4,"Sun",2,23,"Upper East Side","East Side",51,"Mid","cluster_2"
"The Loop","Japanese",4.66,3.1,"Sun",2,4,"West Village","South Manhattan",59,"Low","cluster_1"
"RedFarm Broadway","Chinese",19.35,3.4,"Sun",3,59,"Midtown","Midtown",51,"Mid","cluster_2"
"The Meatball Shop","Italian",8.78,3.7,"Thu",5,132,"Hell's Kitchen","West Side",67,"Very High","cluster_1"
"Shake Shack","American",29.1,3.9,"Sun",1,219,"Financial District","South Manhattan",51,"Very High","cluster_3"
"RedFarm Hudson","Chinese",5.77,3.5,"Sat",1,55,"Upper West Side","West Side",61,"Mid","cluster_1"
"Posto","Italian",24.25,3.6,"Sun",1,1,"Midtown","Midtown",48,"Low","cluster_3"
"The Meatball Shop","Italian",9.41,3.3,"Fri",2,132,"Hell's Kitchen","West Side",62,"Very High","cluster_1"
"Han Dynasty","Chinese",29.15,4,"Sun",3,46,"Upper East Side","East Side",50,"Mid","cluster_3"
"Pepe Rosso To Go","Italian",15.57,3.8,"Sat",1,7,"Upper West Side","West Side",56,"Low","cluster_1"
"Nobu Next Door","Japanese",11.59,3.4,"Sat",4,42,"Kips Bay","East Side",50,"Mid","cluster_2"
"Parm","Italian",16.3,3.3,"Sun",1,68,"Midtown","Midtown",49,"High","cluster_2"
"Mamoun's Falafel","Mediterranean",12.18,4.2,"Tue",1,7,"West Village","South Manhattan",55,"Low","cluster_1"
"RedFarm Hudson","Chinese",12.08,3,"Fri",4,55,"Inwood","Upper Manhattan",47,"Mid","cluster_2"
"The Kati Roll Company","Indian",17.03,3.7,"Sun",2,16,"Lower East Side","South Manhattan",46,"Low","cluster_2"
"Terakawa Ramen","Japanese",8.54,3.6,"Tue",1,3,"Lower East Side","South Manhattan",52,"Low","cluster_1"
"Nobu Next Door","Japanese",6.74,3.2,"Sun",4,42,"Gramercy","East Side",60,"Mid","cluster_1"
"Kambi Ramen House","Japanese",32.93,4.1,"Sun",1,1,"Upper East Side","East Side",54,"Low","cluster_3"
"Blue Ribbon Sushi","Japanese",12.18,3.5,"Thu",2,119,"Theater District","Midtown",66,"High","cluster_1"
"Blue Ribbon Sushi","Japanese",12.23,3.3,"Sun",4,119,"Upper East Side","East Side",54,"High","cluster_1"
"Shake Shack","American",14.94,3.2,"Mon",3,219,"Hell's Kitchen","West Side",64,"Very High","cluster_1"
"Shake Shack","American",12.95,3.7,"Wed",1,219,"Theater District","Midtown",50,"Very High","cluster_2"
"Jack's Wife Freda","Mediterranean",25.17,3.9,"Fri",1,25,"Upper West Side","West Side",56,"Mid","cluster_3"
"Blue Ribbon Sushi","Japanese",13.87,3.3,"Sun",1,119,"Chelsea","West Side",56,"High","cluster_1"
"Shake Shack","American",24.3,3.8,"Sat",2,219,"Upper West Side","West Side",51,"Very High","cluster_3"
"Wo Hop Restaurant","Chinese",14.16,3.4,"Sat",1,1,"Hell's Kitchen","West Side",38,"Low","cluster_2"
"The Smile","American",25.17,3.5,"Sat",3,18,"Midtown","Midtown",46,"Low","cluster_3"
"Shake Shack","American",31.43,3.8,"Sun",2,219,"Chelsea","West Side",49,"Very High","cluster_3"
"Shake Shack","American",13,3.2,"Sun",1,219,"West Village","South Manhattan",38,"Very High","cluster_2"
"Blue Ribbon Fried Chicken","American",24.2,3.7,"Sun",1,96,"Upper West Side","West Side",57,"High","cluster_3"
"Shake Shack","American",12.66,3.5,"Sun",1,219,"East Village","South Manhattan",59,"Very High","cluster_1"
"Momoya","Japanese",6.84,2.4,"Mon",4,30,"Washington Heights","Upper Manhattan",45,"Mid","cluster_2"
"Spice Thai","Thai",15.86,4.2,"Sat",2,1,"Nolita","South Manhattan",59,"Low","cluster_1"
"Cafe Habana","Mexican",9.75,3.2,"Fri",1,16,"Lower East Side","South Manhattan",64,"Low","cluster_1"
"da Umberto","Italian",7.61,3.3,"Sun",4,3,"Upper East Side","East Side",49,"Low","cluster_2"
"Sushi of Gari 46","Japanese",29.05,3.9,"Sat",2,37,"Little Italy","South Manhattan",44,"Mid","cluster_3"
"Room Service","Thai",22.31,3.6,"Sun",2,3,"Midtown","Midtown",37,"Low","cluster_2"
"Dickson's Farmstand Meats","American",15.72,3.1,"Sun",13,3,"Financial District","South Manhattan",51,"Low","cluster_0"
"TAO","Japanese",25.22,3.7,"Sat",1,49,"East Village","South Manhattan",42,"Mid","cluster_3"
"Xi'an Famous Foods","Chinese",24.3,3.9,"Sat",1,9,"Midtown","Midtown",61,"Low","cluster_3"
"J. G. Melon","American",8.35,3.2,"Sat",1,15,"Harlem","Upper Manhattan",52,"Low","cluster_2"
"Momoya","Japanese",22.85,3.3,"Sun",1,30,"Flatiron District","Midtown",49,"Mid","cluster_3"
"UVA Wine Bar & Restaurant","Italian",29.15,4.2,"Sat",1,2,"Harlem","Upper Manhattan",59,"Low","cluster_3"
"Blue Ribbon Sushi Bar & Grill","Japanese",19.35,3.4,"Fri",1,44,"Greenwich Village","South Manhattan",51,"Mid","cluster_2"
"Jack's Wife Freda","Mediterranean",32.93,3.9,"Sun",1,25,"Midtown","Midtown",37,"Mid","cluster_3"
"Momoya","Japanese",14.21,3.4,"Sun",1,30,"East Village","South Manhattan",54,"Mid","cluster_1"
"Donburi-ya","Japanese",15.86,3.4,"Thu",13,7,"West Village","South Manhattan",56,"Low","cluster_0"
"TAO","Japanese",15.28,3.4,"Sun",1,49,"East Village","South Manhattan",55,"Mid","cluster_1"
"The Meatball Shop","Italian",12.13,3.6,"Sat",4,132,"West Village","South Manhattan",50,"Very High","cluster_2"
"The Meatball Shop","Italian",22.36,3.8,"Sun",1,132,"Chelsea","West Side",56,"Very High","cluster_3"
"Shake Shack","American",5.68,2.8,"Sat",3,219,"Midtown","Midtown",44,"Very High","cluster_2"
"Sushi of Gari Tribeca","Japanese",29.15,3.5,"Sat",3,24,"Midtown","Midtown",39,"Mid","cluster_3"
"Waverly Diner","American",22.8,3.6,"Sun",2,7,"West Village","South Manhattan",46,"Low","cluster_3"
"The Meatball Shop","Italian",19.45,3.6,"Sat",3,132,"Upper West Side","West Side",40,"Very High","cluster_2"
"Vanessa's Dumpling House","Chinese",15.52,3.4,"Sat",3,9,"East Harlem","Upper Manhattan",43,"Low","cluster_2"
"Blue Ribbon Sushi","Japanese",25.27,3.7,"Sat",1,119,"Chinatown","South Manhattan",40,"High","cluster_3"
"The Meatball Shop","Italian",32.93,4.5,"Sat",3,132,"East Village","South Manhattan",63,"Very High","cluster_3"
"S'MAC","American",24.2,3.6,"Sun",3,12,"West Village","South Manhattan",45,"Low","cluster_3"
"Rubirosa","Italian",24.2,3.9,"Sat",1,37,"Upper West Side","West Side",46,"Mid","cluster_3"
"Shake Shack","American",14.65,3.8,"Thu",1,219,"Upper West Side","West Side",59,"Very High","cluster_1"
"Shake Shack","American",12.08,3.4,"Sat",1,219,"Hell's Kitchen","West Side",53,"Very High","cluster_1"
"Rubirosa","Italian",5.77,2.9,"Sun",6,37,"Harlem","Upper Manhattan",48,"Mid","cluster_0"
"P.J. Clarke's","American",4.71,3,"Sat",2,15,"East Village","South Manhattan",38,"Low","cluster_2"
"Blue Ribbon Fried Chicken","American",8.78,3.2,"Sun",2,96,"East Village","South Manhattan",48,"High","cluster_2"
"Blue Ribbon Sushi Izakaya","Japanese",12.23,3,"Sun",5,29,"Flatiron District","Midtown",59,"Mid","cluster_1"
"RedFarm Broadway","Chinese",12.23,3.5,"Sat",1,59,"East Village","South Manhattan",42,"Mid","cluster_2"
"Blue Ribbon Fried Chicken","American",29.15,3.4,"Mon",1,96,"Harlem","Upper Manhattan",49,"High","cluster_3"
"Chipotle Mexican Grill","Mexican",22.26,3.4,"Sun",2,23,"West Village","South Manhattan",42,"Mid","cluster_2"
"Parm","Italian",12.56,3.5,"Fri",1,68,"SoHo","South Manhattan",60,"High","cluster_1"
"Sushi of Gari 46","Japanese",13.05,3.3,"Sun",1,37,"Upper East Side","East Side",46,"Mid","cluster_2"
"Rubirosa","Italian",13.92,3.6,"Sun",1,37,"Chinatown","South Manhattan",56,"Mid","cluster_1"
"Balthazar Boulangerie","French",21.39,3.4,"Sun",5,10,"Harlem","Upper Manhattan",64,"Low","cluster_1"
"Blue Ribbon Sushi","Japanese",29.25,3.9,"Sat",1,119,"Upper West Side","West Side",50,"High","cluster_3"
"Burger Joint","American",12.18,3.4,"Sat",1,12,"Upper West Side","West Side",50,"Low","cluster_2"
"Shake Shack","American",12.18,3.3,"Sun",4,219,"Upper East Side","East Side",51,"Very High","cluster_2"
"ilili Restaurant","Middle Eastern",12.66,3.2,"Sat",2,18,"Midtown","Midtown",36,"Low","cluster_2"
"RedFarm Hudson","Chinese",12.18,3.6,"Sat",1,55,"West Village","South Manhattan",51,"Mid","cluster_1"
"Bareburger","American",8.63,2.9,"Sun",1,27,"Morningside Heights","Upper Manhattan",43,"Mid","cluster_2"
"Tamarind TriBeCa","Indian",12.18,3.8,"Sat",2,27,"SoHo","South Manhattan",56,"Mid","cluster_1"
"Sushi of Gari Tribeca","Japanese",14.12,3,"Sun",5,24,"East Harlem","Upper Manhattan",50,"Mid","cluster_0"
"Blue Ribbon Sushi","Japanese",16.93,3.4,"Sun",4,119,"Lower East Side","South Manhattan",55,"High","cluster_1"
"Parm","Italian",6.79,3.4,"Sat",1,68,"Chelsea","West Side",51,"High","cluster_2"
"Han Dynasty","Chinese",29.2,4.1,"Sun",1,46,"East Village","South Manhattan",56,"Mid","cluster_3"
"RedFarm Broadway","Chinese",14.02,3.8,"Tue",3,59,"Upper West Side","West Side",51,"Mid","cluster_1"
"Nobu Next Door","Japanese",25.17,3.8,"Sat",1,42,"Harlem","Upper Manhattan",60,"Mid","cluster_3"
"RedFarm Broadway","Chinese",12.61,3.1,"Sun",6,59,"Washington Heights","Upper Manhattan",49,"Mid","cluster_0"
"Serafina Fabulous Pizza","Italian",13.68,3.6,"Sat",3,5,"Gramercy","East Side",40,"Low","cluster_2"
"Blue Ribbon Sushi","Japanese",11.93,3.3,"Sat",4,119,"Upper East Side","East Side",45,"High","cluster_2"
"Lantern Thai Kitchen","Thai",13.97,3.7,"Sun",4,4,"East Harlem","Upper Manhattan",57,"Low","cluster_1"
"The Meatball Shop","Italian",14.02,3.2,"Mon",1,132,"West Village","South Manhattan",47,"Very High","cluster_2"
"Blue Ribbon Sushi","Japanese",8.1,3.1,"Sun",4,119,"West Village","South Manhattan",53,"High","cluster_1"
"Jack's Wife Freda","Mediterranean",12.18,3.6,"Sun",1,25,"Harlem","Upper Manhattan",56,"Mid","cluster_1"
"Pylos","Mediterranean",35.41,4.8,"Tue",5,5,"East Village","South Manhattan",50,"Low","cluster_3"
"Gaia Italian Cafe","Italian",8.78,3.1,"Sun",2,1,"Upper West Side","West Side",40,"Low","cluster_2"
"Shake Shack","American",16.25,3.2,"Sun",1,219,"Midtown","Midtown",50,"Very High","cluster_2"
"Blue Ribbon Sushi","Japanese",6.64,2.7,"Sun",3,119,"Harlem","Upper Manhattan",38,"High","cluster_2"
"The Meatball Shop","American",15.86,3.4,"Fri",1,132,"Chinatown","South Manhattan",55,"Very High","cluster_1"
"Parm","Italian",17.03,3.7,"Thu",2,68,"East Harlem","Upper Manhattan",48,"High","cluster_2"
"Bareburger","American",24.2,3.3,"Sun",10,27,"Hell's Kitchen","West Side",46,"Mid","cluster_0"
"J. G. Melon","American",8.25,3.8,"Thu",1,15,"West Village","South Manhattan",67,"Low","cluster_1"
"Five Guys Burgers and Fries","American",12.08,3.3,"Sat",1,29,"Greenwich Village","South Manhattan",38,"Mid","cluster_2"
"Cafe China","Chinese",12.13,3.4,"Sun",2,6,"Lower East Side","South Manhattan",52,"Low","cluster_1"
"ilili Restaurant","Middle Eastern",16.49,3.5,"Sun",1,18,"Midtown","Midtown",58,"Low","cluster_1"
"Blue Ribbon Sushi Izakaya","Japanese",6.79,3.1,"Sun",1,29,"Harlem","Upper Manhattan",62,"Mid","cluster_1"
"Sushi of Gari","Japanese",10.72,3.8,"Tue",2,16,"Kips Bay","East Side",56,"Low","cluster_1"
"Piccolo Angolo","Italian",19.35,3.8,"Sat",1,2,"Harlem","Upper Manhattan",58,"Low","cluster_1"
"Chola Eclectic Indian Cuisine","Indian",8.73,3.7,"Sat",1,1,"Chelsea","West Side",58,"Low","cluster_1"
"TAO","Japanese",9.65,3.2,"Sat",2,49,"East Village","South Manhattan",43,"Mid","cluster_2"
"Vanessa's Dumplings","Chinese",16.78,3.5,"Sat",2,13,"Midtown","Midtown",56,"Low","cluster_1"
"Mamoun's Falafel","Mediterranean",12.61,3.5,"Sun",2,7,"Chinatown","South Manhattan",38,"Low","cluster_2"
"RedFarm Broadway","Chinese",24.25,3.8,"Sun",1,59,"East Village","South Manhattan",51,"Mid","cluster_3"
"Westville Hudson","American",11.16,3.1,"Sun",1,15,"Upper West Side","West Side",44,"Low","cluster_2"
"Pongsri Thai","Thai",20.18,3.8,"Fri",2,2,"East Village","South Manhattan",48,"Low","cluster_3"
"Blue Ribbon Sushi Izakaya","Japanese",32.93,3.7,"Sat",2,29,"Harlem","Upper Manhattan",40,"Mid","cluster_3"
"Parm","Italian",15.86,4,"Thu",1,68,"Financial District","South Manhattan",54,"High","cluster_1"
"Parm","Italian",12.13,3.3,"Sun",1,68,"Midtown","Midtown",55,"High","cluster_1"
"Blue Ribbon Sushi","Japanese",13.87,4,"Tue",3,119,"Upper East Side","East Side",61,"High","cluster_1"
"Rubirosa","Italian",14.12,3.1,"Mon",3,37,"Upper West Side","West Side",53,"Mid","cluster_1"
"TAO","Japanese",24.25,3.7,"Sat",1,49,"Nolita","South Manhattan",43,"Mid","cluster_3"
"Blue Ribbon Sushi","Japanese",14.07,3.9,"Thu",4,119,"Kips Bay","East Side",64,"High","cluster_1"
"indikitch","Indian",5.58,3.5,"Sat",1,4,"Midtown","Midtown",65,"Low","cluster_1"
"Prosperity Dumpling","Chinese",13.63,3.4,"Sun",1,3,"Upper West Side","West Side",49,"Low","cluster_2"
"RedFarm Hudson","Chinese",15.52,3.6,"Sat",5,55,"East Village","South Manhattan",48,"Mid","cluster_0"
"Shake Shack","American",8.73,3.2,"Sun",1,219,"Lower East Side","South Manhattan",52,"Very High","cluster_2"
"Melt Shop","American",25.27,3.9,"Sun",1,11,"East Village","South Manhattan",57,"Low","cluster_3"
"Hot Kitchen","Chinese",29.54,4,"Sun",2,2,"Harlem","Upper Manhattan",62,"Low","cluster_3"
"Junoon","Indian",9.22,3.9,"Thu",6,5,"SoHo","South Manhattan",62,"Low","cluster_1"
"Blue Ribbon Fried Chicken","American",15.33,3.2,"Sun",3,96,"Nolita","South Manhattan",38,"High","cluster_2"
"Han Dynasty","Chinese",14.02,3.3,"Sat",1,46,"Harlem","Upper Manhattan",39,"Mid","cluster_2"
"The Smile","American",8.39,2.7,"Fri",4,18,"Midtown","Midtown",51,"Low","cluster_2"
"Han Dynasty","Chinese",12.13,3.6,"Sat",1,46,"East Harlem","Upper Manhattan",60,"Mid","cluster_1"
"The Meatball Shop","Italian",16.49,3.6,"Sat",5,132,"Upper West Side","West Side",50,"Very High","cluster_0"
"Osteria Morini","Italian",9.22,4,"Tue",1,14,"Upper West Side","West Side",62,"Low","cluster_1"
"The Meatball Shop","Italian",19.35,3.5,"Sun",1,132,"East Harlem","Upper Manhattan",47,"Very High","cluster_2"
"RedFarm Broadway","Chinese",22.8,4.2,"Thu",1,59,"Harlem","Upper Manhattan",66,"Mid","cluster_3"
"Shake Shack","American",29.49,4.2,"Sat",4,219,"Upper East Side","East Side",58,"Very High","cluster_3"
"Ravagh Persian Grill","Middle Eastern",16.93,4,"Sat",1,3,"Upper East Side","East Side",54,"Low","cluster_1"
"Rohm Thai","Thai",29.1,4.4,"Sat",1,1,"Harlem","Upper Manhattan",54,"Low","cluster_3"
"RedFarm Hudson","Chinese",15.04,3.7,"Sat",1,55,"Upper West Side","West Side",60,"Mid","cluster_1"
"Momoya","Japanese",11.59,3.4,"Sun",1,30,"Gramercy","East Side",53,"Mid","cluster_1"
"Hill Country Fried Chicken","Southern",31.43,4.2,"Fri",1,14,"Hell's Kitchen","West Side",53,"Low","cluster_3"
"Blue Ribbon Fried Chicken","American",18.24,3.4,"Sat",1,96,"Chelsea","West Side",37,"High","cluster_2"
"Nobu Next Door","Japanese",4.47,3,"Sun",2,42,"Upper West Side","West Side",54,"Mid","cluster_1"
"Vanessa's Dumplings","Chinese",8.98,3.1,"Sun",2,13,"Hell's Kitchen","West Side",40,"Low","cluster_2"
"Shake Shack","American",29.39,3.4,"Mon",1,219,"Midtown","Midtown",56,"Very High","cluster_3"
"Dig Inn Seasonal Market","American",15.71,2.9,"Mon",3,1,"East Harlem","Upper Manhattan",53,"Low","cluster_2"
"Shake Shack","American",29.1,3.8,"Mon",2,219,"Upper East Side","East Side",60,"Very High","cluster_3"
"Bareburger","American",8.39,3.2,"Sun",1,27,"Upper West Side","West Side",57,"Mid","cluster_1"
"Blue Ribbon Sushi Izakaya","Japanese",8.93,2.9,"Sat",7,29,"Harlem","Upper Manhattan",46,"Mid","cluster_0"
"Han Dynasty","Chinese",13,3.3,"Sun",1,46,"Midtown","Midtown",54,"Mid","cluster_1"
"Dos Caminos","Mexican",16.06,3.1,"Sun",13,8,"Greenwich Village","South Manhattan",54,"Low","cluster_0"
"Olea","Mediterranean",6.69,4,"Tue",1,3,"Upper East Side","East Side",48,"Low","cluster_2"
"Shake Shack","American",16.1,3.5,"Sun",2,219,"Upper East Side","East Side",52,"Very High","cluster_1"
"Jack's Wife Freda","Mediterranean",6.69,3.4,"Sat",3,25,"Nolita","South Manhattan",37,"Mid","cluster_2"
"Nobu Next Door","Japanese",9.51,3,"Sun",1,42,"Midtown","Midtown",54,"Mid","cluster_1"
"TAO","Japanese",12.08,3.3,"Sun",1,49,"Financial District","South Manhattan",54,"Mid","cluster_1"
"Blue Ribbon Sushi","Japanese",5.82,2.5,"Mon",2,119,"Midtown","Midtown",55,"High","cluster_1"
"Nobu Next Door","Japanese",9.41,3.1,"Sun",4,42,"Harlem","Upper Manhattan",62,"Mid","cluster_1"
"Xe May Sandwich Shop","Vietnamese",14.07,3.8,"Tue",2,2,"Washington Heights","Upper Manhattan",56,"Low","cluster_1"
"Rubirosa","Italian",22.8,4.5,"Wed",4,37,"East Village","South Manhattan",59,"Mid","cluster_3"
"Cafeteria","American",12.23,3.1,"Mon",1,9,"Upper East Side","East Side",51,"Low","cluster_2"
"Blue Ribbon Sushi Bar & Grill","Japanese",15.91,3.5,"Sat",2,44,"East Village","South Manhattan",47,"Mid","cluster_2"
"Otto Enoteca Pizzeria","Italian",9.61,3.4,"Sun",1,12,"Upper West Side","West Side",56,"Low","cluster_1"
"Shake Shack","American",8,3.4,"Sat",2,219,"Lower East Side","South Manhattan",54,"Very High","cluster_1"
"RedFarm Hudson","Chinese",12.08,3.4,"Sun",1,55,"West Village","South Manhattan",45,"Mid","cluster_2"
"Shake Shack","American",12.08,2.8,"Mon",3,219,"Inwood","Upper Manhattan",54,"Very High","cluster_1"
"Rubirosa","Italian",14.12,3.6,"Sun",2,37,"Upper East Side","East Side",48,"Mid","cluster_2"
"Sarabeth's Restaurant","American",21.93,3.8,"Sat",2,7,"Financial District","South Manhattan",52,"Low","cluster_3"
"Cafe Mogador","Middle Eastern",15.91,3.6,"Sat",2,18,"Harlem","Upper Manhattan",47,"Low","cluster_2"
"Amy Ruth's","Southern",7.38,4,"Tue",1,3,"Upper West Side","West Side",53,"Low","cluster_1"
"Shake Shack","American",21.39,3.7,"Sat",5,219,"Murray Hill","East Side",46,"Very High","cluster_3"
"Cho Dang Gol","Korean",29.25,3.6,"Sun",2,6,"Upper East Side","East Side",44,"Low","cluster_3"
"El Parador Cafe","Mexican",13.19,2.9,"Mon",1,2,"West Village","South Manhattan",50,"Low","cluster_2"
"Vanessa's Dumplings","Chinese",15.57,3.6,"Sat",1,13,"Midtown","Midtown",61,"Low","cluster_1"
"Parm","Italian",19.45,4.2,"Tue",1,68,"Upper West Side","West Side",56,"High","cluster_3"
"Shake Shack","American",25.17,3.9,"Sat",2,219,"Financial District","South Manhattan",53,"Very High","cluster_3"
"RedFarm Hudson","Chinese",19.35,3.5,"Sat",4,55,"Harlem","Upper Manhattan",46,"Mid","cluster_2"
"TAO","Japanese",12.61,3.3,"Sun",1,49,"Upper West Side","West Side",56,"Mid","cluster_1"
"Chipotle Mexican Grill","Mexican",12.13,3.2,"Sun",2,23,"East Village","South Manhattan",53,"Mid","cluster_1"
"Jack's Wife Freda","Mediterranean",12.08,3.5,"Sun",3,25,"Chelsea","West Side",49,"Mid","cluster_2"
"Dirty Bird to Go","American",12.08,4,"Wed",2,4,"East Village","South Manhattan",55,"Low","cluster_1"
"Blue Ribbon Sushi Bar & Grill","Japanese",4.85,2.7,"Sat",3,44,"Midtown","Midtown",41,"Mid","cluster_2"
"Blue Ribbon Fried Chicken","American",14.07,3.7,"Wed",5,96,"Midtown","Midtown",58,"High","cluster_1"
"Chipotle Mexican Grill","Mexican",29.1,3.8,"Sat",1,23,"Harlem","Upper Manhattan",52,"Mid","cluster_3"
"Socarrat Paella Bar","Spanish",25.22,3.2,"Sat",1,1,"Midtown","Midtown",43,"Low","cluster_3"
"The Meatball Shop","Italian",31.33,4,"Sat",1,132,"Harlem","Upper Manhattan",45,"Very High","cluster_3"
"Shake Shack","American",17.03,4.2,"Wed",1,219,"Harlem","Upper Manhattan",67,"Very High","cluster_1"
"Don's Bogam BBQ & Wine Bar","Korean",12.23,2.9,"Sat",13,3,"East Village","South Manhattan",52,"Low","cluster_0"
"Tamarind TriBeCa","Indian",6.07,3.1,"Sun",2,27,"Midtown","Midtown",47,"Mid","cluster_2"
"Shake Shack","American",10.82,3.4,"Sat",1,219,"Upper West Side","West Side",54,"Very High","cluster_1"
"Han Dynasty","Chinese",9.51,3.7,"Wed",1,46,"Midtown","Midtown",51,"Mid","cluster_1"
"Bareburger","American",8.73,2.7,"Sun",10,27,"Hell's Kitchen","West Side",40,"Mid","cluster_0"
"Blue Ribbon Sushi Izakaya","Japanese",12.23,4,"Wed",2,29,"Murray Hill","East Side",52,"Mid","cluster_1"
"da Umberto","Italian",32.98,4,"Sun",1,3,"Midtown","Midtown",58,"Low","cluster_3"
"Parm","Italian",19.35,4.1,"Tue",2,68,"West Village","South Manhattan",49,"High","cluster_3"
"Xi'an Famous Foods","Chinese",19.45,3.6,"Sun",2,9,"West Village","South Manhattan",46,"Low","cluster_2"
"Five Leaves","American",6.26,2.8,"Fri",2,4,"Theater District","Midtown",57,"Low","cluster_1"
"Alidoro","American",12.61,3.2,"Sun",1,1,"Midtown","Midtown",56,"Low","cluster_1"
"RedFarm Broadway","Chinese",13.1,3.2,"Sun",1,59,"Theater District","Midtown",48,"Mid","cluster_2"
"Tony's Di Napoli","Italian",14.07,3.6,"Sat",2,5,"Chelsea","West Side",49,"Low","cluster_2"
"Shake Shack","American",15.57,3.5,"Sat",1,219,"Chelsea","West Side",53,"Very High","cluster_1"
"Bareburger","American",13.05,3.6,"Sat",2,27,"East Village","South Manhattan",61,"Mid","cluster_1"
"Blue Ribbon Sushi Izakaya","Japanese",16.44,3.4,"Sun",1,29,"Chelsea","West Side",55,"Mid","cluster_1"
"Blue Ribbon Sushi","Japanese",8.54,3.1,"Sat",5,119,"Harlem","Upper Manhattan",59,"High","cluster_1"
"Nobu Next Door","Japanese",12.13,2.9,"Sun",1,42,"Midtown","Midtown",44,"Mid","cluster_2"
"Westville Hudson","American",33.03,4.1,"Sat",1,15,"Lower East Side","South Manhattan",43,"Low","cluster_3"
"Cipriani Le Specialita","Italian",5.92,3.5,"Sun",1,1,"Lower East Side","South Manhattan",65,"Low","cluster_1"
"The Meatball Shop","Italian",32.98,3.7,"Fri",1,132,"Midtown","Midtown",48,"Very High","cluster_3"
"Shake Shack","American",16.25,3.4,"Mon",1,219,"Upper East Side","East Side",58,"Very High","cluster_1"
"Blue Ribbon Sushi","Japanese",29.1,3.7,"Sun",1,119,"Upper East Side","East Side",36,"High","cluster_3"
"The Meatball Shop","Italian",12.08,4.2,"Wed",2,132,"Upper East Side","East Side",53,"Very High","cluster_1"
"Cafe Habana","Mexican",8.25,2.9,"Sat",2,16,"Midtown","Midtown",50,"Low","cluster_2"
"RedFarm Broadway","Chinese",8.2,3.5,"Sat",3,59,"Chelsea","West Side",61,"Mid","cluster_1"
"Shake Shack","American",22.36,3.4,"Fri",2,219,"Upper West Side","West Side",52,"Very High","cluster_3"
"Chipotle Mexican Grill","Mexican",16.44,3.1,"Mon",1,23,"Upper West Side","West Side",63,"Mid","cluster_1"
"The Loop","Japanese",24.3,3.6,"Sat",1,4,"Harlem","Upper Manhattan",50,"Low","cluster_3"
"The Meatball Shop","Italian",8.63,3.1,"Mon",3,132,"West Village","South Manhattan",55,"Very High","cluster_1"
"Momoya","Japanese",9.02,3.1,"Sat",3,30,"Inwood","Upper Manhattan",51,"Mid","cluster_2"
"Blue Ribbon Sushi","Japanese",12.08,2.9,"Sun",5,119,"Harlem","Upper Manhattan",47,"High","cluster_0"
"TAO","Japanese",15.76,3.3,"Sun",2,49,"Lower East Side","South Manhattan",45,"Mid","cluster_2"
"Burger Joint","American",21.88,3.6,"Sun",1,12,"Lower East Side","South Manhattan",50,"Low","cluster_3"
"Barbounia","Mediterranean",5.77,3.4,"Sat",2,6,"Chelsea","West Side",46,"Low","cluster_2"
"Shake Shack","American",32.98,3.9,"Sun",1,219,"Battery Park City","South Manhattan",43,"Very High","cluster_3"
"RedFarm Hudson","Chinese",29.1,4.2,"Thu",1,55,"Washington Heights","Upper Manhattan",53,"Mid","cluster_3"
"Five Guys Burgers and Fries","American",14.12,3.4,"Sun",1,29,"Tribeca","South Manhattan",53,"Mid","cluster_1"
"Blue Ribbon Sushi","Japanese",11.59,3,"Sun",5,119,"Chelsea","West Side",49,"High","cluster_0"
"Blue Ribbon Fried Chicken","American",9.75,3.9,"Wed",1,96,"East Village","South Manhattan",55,"High","cluster_1"
"Five Guys Burgers and Fries","American",12.18,3.5,"Sat",1,29,"Upper East Side","East Side",48,"Mid","cluster_2"
"Empanada Mama","Mexican",15.57,3.1,"Sat",1,13,"Midtown","Midtown",44,"Low","cluster_2"
"Shake Shack","American",24.25,3.9,"Sat",1,219,"Chelsea","West Side",58,"Very High","cluster_3"
"Blue Ribbon Fried Chicken","American",31.38,3.6,"Sun",5,96,"Midtown","Midtown",55,"High","cluster_3"
"Shake Shack","American",15.76,4.2,"Wed",2,219,"Upper East Side","East Side",54,"Very High","cluster_1"
"Blue Ribbon Sushi","Japanese",24.25,3.5,"Fri",2,119,"Upper West Side","West Side",56,"High","cluster_3"
"Tony's Di Napoli","Italian",29.1,3.9,"Sun",2,5,"Hell's Kitchen","West Side",45,"Low","cluster_3"
"Han Dynasty","Chinese",12.08,3.5,"Sat",3,46,"Gramercy","East Side",45,"Mid","cluster_2"
"Blue Ribbon Fried Chicken","American",12.13,3.5,"Sat",1,96,"East Village","South Manhattan",49,"High","cluster_2"
"Blue Ribbon Sushi","Japanese",15.86,3.4,"Sun",4,119,"Upper East Side","East Side",48,"High","cluster_2"
"Shake Shack","American",14.07,3.4,"Sun",3,219,"East Village","South Manhattan",58,"Very High","cluster_1"
"Saravanaa Bhavan","Indian",24.25,4.5,"Tue",1,5,"Upper West Side","West Side",55,"Low","cluster_3"
"Sushi Choshi","Japanese",13.73,3.7,"Sat",1,1,"Upper East Side","East Side",62,"Low","cluster_1"
"The Smile","American",12.18,3.9,"Wed",2,18,"Upper West Side","West Side",56,"Low","cluster_1"
